Дистанция_км,Высота_м,Уклон_проценты
35.059,122.67,-7.06
35.196,113.0,-7.3
35.332,103.0,-5.84
35.469,95.0,-1.7
35.606,92.67,-1.22
35.743,91.0,-0.73
35.88,90.0,-0.97
36.017,88.67,-0.97
36.154,87.33,-0.49
36.291,86.67,-0.49
36.428,86.0,-0.24
36.565,85.67,-0.97
36.702,84.33,-0.73
36.838,83.33,-0.73
36.975,82.33,-0.24
37.112,82.0,1.7
37.249,84.33,3.65
37.386,89.33,5.36
37.523,96.67,4.87
37.66,103.33,3.9
37.797,108.67,1.95
37.934,111.33,1.7
38.071,113.67,2.43
38.208,117.0,3.9
38.344,122.33,2.92
38.481,126.33,-0.49
38.618,125.67,-4.14
38.755,120.0,-4.38
38.892,114.0,-3.65
39.029,109.0,-2.92
39.166,105.0,-2.43
39.303,101.67,-2.19
39.44,98.67,-1.22
39.577,97.0,-1.7
39.713,94.67,-1.46
39.85,92.67,-2.43
39.987,89.33,-1.95
40.124,86.67,0.0
40.261,86.67,2.43
40.398,90.0,4.38
40.535,96.0,4.38
40.672,102.0,4.14
40.809,107.67,2.43
40.946,111.0,1.95
41.083,113.67,1.7
41.219,116.0,2.43
41.356,119.33,2.19
41.493,122.33,2.92
41.63,126.33,1.95
41.767,129.0,0.49
41.904,129.67,-1.7
42.041,127.33,-2.68
42.178,123.67,-2.68
42.315,120.0,-2.68
42.451,116.33,-1.95
42.588,113.67,-0.73
42.725,112.67,-1.46
42.862,110.67,-1.95
42.999,108.0,-2.92
43.136,104.0,-2.43
43.273,100.67,-2.92
43.41,96.67,-2.92
43.547,92.67,-2.43
43.684,89.33,-0.49
43.82,88.67,0.73
43.957,89.67,0.97
44.094,91.0,-0.24
44.231,90.67,-1.7
44.368,88.33,-1.95
44.505,85.67,-1.7
44.642,83.33,-1.7
44.779,81.0,-1.46
44.916,79.0,-1.7
45.052,76.67,-0.73
45.189,75.67,0.0
45.326,75.67,0.24
45.463,76.0,0.49
45.6,76.67,0.73
45.737,77.67,0.24
45.874,78.0,0.24
46.011,78.33,-0.73
46.148,77.33,0.49
46.284,78.0,-0.24
46.421,77.67,0.0
46.558,77.67,-0.73
46.695,76.67,-0.49
46.832,76.0,-0.24
46.969,75.67,0.49
47.106,76.33,0.49
47.243,77.0,-0.24
47.38,76.67,-0.97
47.516,75.33,-0.24
47.653,75.0,-0.24
47.79,74.67,0.24
47.927,75.0,-0.49
48.064,74.33,-0.49
48.201,73.67,-0.73
48.338,72.67,-0.49
48.475,72.0,-0.49
48.612,71.33,-0.73
48.748,70.33,0.0
48.885,70.33,0.73
49.022,71.33,0.97
49.159,72.67,0.0
49.296,72.67,-0.49
49.433,72.0,-0.73
49.57,71.0,-0.49
49.707,70.33,-0.49
49.844,69.67,0.0
